sample_id,label,class_name,video_path
-1l5631l3fg_0,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\-1l5631l3fg_0.avi
-1l5631l3fg_0,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\-1l5631l3fg_0.mp4
-1l5631l3fg_1,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\-1l5631l3fg_1.avi
-1l5631l3fg_1,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\-1l5631l3fg_1.mp4
-1l5631l3fg_2,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\-1l5631l3fg_2.avi
-1l5631l3fg_2,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\-1l5631l3fg_2.mp4
0_DzLlklZa0_3,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0_DzLlklZa0_3.avi
0_DzLlklZa0_3,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0_DzLlklZa0_3.mp4
0_DzLlklZa0_4,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0_DzLlklZa0_4.avi
0_DzLlklZa0_4,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0_DzLlklZa0_4.mp4
0_DzLlklZa0_5,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0_DzLlklZa0_5.avi
0_DzLlklZa0_5,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0_DzLlklZa0_5.mp4
0_DzLlklZa0_6,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0_DzLlklZa0_6.avi
0_DzLlklZa0_6,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0_DzLlklZa0_6.mp4
0H2s9UJcNJ0_0,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0H2s9UJcNJ0_0.avi
0H2s9UJcNJ0_0,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0H2s9UJcNJ0_0.mp4
0H2s9UJcNJ0_2,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0H2s9UJcNJ0_2.avi
0H2s9UJcNJ0_2,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0H2s9UJcNJ0_2.mp4
0H2s9UJcNJ0_3,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0H2s9UJcNJ0_3.avi
0H2s9UJcNJ0_3,1,Fight,C:\Users\User\Desktop\nutc\YS_LAB\研究\attack-prediction\STGCN\data\raw\rwf2000\train\Fight\0H2s9UJcNJ0_3.mp4
